M,N,K,PerfAPI
96,96,96,,39.2884
192,192,192,,196.608
288,288,288,,495.368
384,384,384,,910.01
480,480,480,,1349.91
576,576,576,,1899.77
672,672,672,,2589.62
768,768,768,,2745.98
864,864,864,,3482.85
960,960,960,,4297.92
1056,1056,1056,,3421
1152,1152,1152,,4510.3
1248,1248,1248,,4463.49
1344,1344,1344,,5218.82
1440,1440,1440,,3879.02
1536,1536,1536,,4369.63
1632,1632,1632,,4168.25
1728,1728,1728,,4377.64
1824,1824,1824,,4323.59
1920,1920,1920,,4410
2016,2016,2016,,4848.04
2112,2112,2112,,4870.15
2208,2208,2208,,4622.05
2304,2304,2304,,4559.24
2400,2400,2400,,4932.32
2496,2496,2496,,4736.18
2592,2592,2592,,4922.27
2688,2688,2688,,5085.11
2784,2784,2784,,4792.47
2880,2880,2880,,4963.39
2976,2976,2976,,4833.42
3072,3072,3072,,4926.91
3168,3168,3168,,5013.31
3264,3264,3264,,5141.44
3360,3360,3360,,4991.68
3456,3456,3456,,4993.34
3552,3552,3552,,5050.77
3648,3648,3648,,5059.38
3744,3744,3744,,4948.23
3840,3840,3840,,5017.14
3936,3936,3936,,4981.8
4032,4032,4032,,5014.09
4128,4128,4128,,4896.09
4224,4224,4224,,4966.02
4320,4320,4320,,4968.28
4416,4416,4416,,4945.11
4512,4512,4512,,4990.4
4608,4608,4608,,4947.59
4704,4704,4704,,4952.99
4800,4800,4800,,4904.8
4896,4896,4896,,4902.83
4992,4992,4992,,4868.3
5088,5088,5088,,4881.48
