M,N,K,PerfAPI
96,96,96,,48.1607
192,192,192,,263.953
288,288,288,,586.342
384,384,384,,991.448
480,480,480,,1475.29
576,576,576,,1873.56
672,672,672,,2727.54
768,768,768,,2705.88
864,864,864,,2910.14
960,960,960,,3411.58
1056,1056,1056,,3494.7
1152,1152,1152,,3966.77
1248,1248,1248,,4650.98
1344,1344,1344,,3528.28
1440,1440,1440,,3404.34
1536,1536,1536,,3965.5
1632,1632,1632,,4078.15
1728,1728,1728,,3934.54
1824,1824,1824,,4104.18
1920,1920,1920,,3979.99
2016,2016,2016,,3956.25
2112,2112,2112,,4547.47
2208,2208,2208,,4318.37
2304,2304,2304,,4228.03
2400,2400,2400,,4288.92
2496,2496,2496,,4488.2
2592,2592,2592,,4354.85
2688,2688,2688,,4372.88
2784,2784,2784,,4316.2
2880,2880,2880,,4531.97
2976,2976,2976,,4351.18
3072,3072,3072,,4474.84
3168,3168,3168,,4295.81
3264,3264,3264,,4376
3360,3360,3360,,4392.21
3456,3456,3456,,4470.14
3552,3552,3552,,4364.17
3648,3648,3648,,4423.27
3744,3744,3744,,4376.17
3840,3840,3840,,4391.23
3936,3936,3936,,4336.22
4032,4032,4032,,4397.64
4128,4128,4128,,4341.96
4224,4224,4224,,4387.11
4320,4320,4320,,4282.59
4416,4416,4416,,4314.06
4512,4512,4512,,4262.32
4608,4608,4608,,4346.95
4704,4704,4704,,4238.92
4800,4800,4800,,4242.47
4896,4896,4896,,4260.6
4992,4992,4992,,4278.73
5088,5088,5088,,4233.73
